"contract_id","job_order","dataset_scope","source_tier","unit_id","fit_cells","selected_axes","selected_cells_per_axis","source_sha256","sentinel_role","authorization_state","repeat_required","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08n_residual_source_queue_v1",69,"internal124","added34","SRA742961_SRS3565195",5718,5,384,"21d0cb012788e34415fe6d4b192d47b46cbc2f8676ed168bdd448937170ee1d0","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565195__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",70,"internal124","added34","SRA742961_SRS3565196",7791,5,384,"25a12d8613a8490066af75ee047086759f7fd2b65a7682ab86d1eed7317d64c3","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565196__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",71,"internal124","added34","SRA742961_SRS3565197",11475,5,384,"3771018468e07389203d1c776d06e4d58e78284d576c440007cfbe3f79f02bcd","internal_maximum_cell_sentinel","source_view_sentinel_authorized",TRUE,"internal/SRA742961_SRS3565197__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",72,"internal124","added34","SRA742961_SRS3565198",7396,5,384,"15f74311a31f1e35a520415d99fc3f952ba0c85da2569d610af3374bb506431e","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565198__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",73,"internal124","added34","SRA742961_SRS3565199",8050,5,384,"94cb74e72cbe84cbb1a6a500ce42d05ece6acbb956ad635790eed59042007777","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565199__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",74,"internal124","added34","SRA742961_SRS3565201",7482,5,384,"e1aad5fc625d946df76315f1820884f2642169b5ef91c5848e19ec401277d17d","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565201__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",75,"internal124","added34","SRA742961_SRS3565202",5748,5,384,"c8e926b5ebedc643726aa087aae077d772596eb0a70170a2ea9d96555ee5efe6","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565202__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",76,"internal124","added34","SRA742961_SRS3565203",6335,5,384,"a93f6d0f83c5c709834efd464dfcfffa6de76def082fa0a520e3ec30acab07ee","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565203__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",77,"internal124","added34","SRA742961_SRS3565204",4900,5,384,"92d5caf84ddd90cf4bc7a388c021a7e246f87474d79e5417b106dc777587f29a","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565204__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",78,"internal124","added34","SRA742961_SRS3565205",4751,5,384,"344600cdd86d43c185799b458c8f11626fbc2601371d0b294e3515b0ed54e723","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565205__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",79,"internal124","added34","SRA742961_SRS3565206",6956,5,384,"0c972cdc8ea76f486f5d5bee9dfb3a460e9ffb0774e30a806ed049facc6f7712","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565206__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",80,"internal124","added34","SRA742961_SRS3565207",6257,5,384,"6917cc2087585a51f10f053523be79ec2658df84cdce7bc3884e9dba2abed723","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565207__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",81,"internal124","added34","SRA742961_SRS3565208",8118,5,384,"3ec23b8bab305c7362ad566dd30ace4b734b13fdf371a8819f23b871e98a453b","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565208__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",82,"internal124","added34","SRA742961_SRS3565209",7044,5,384,"ca37f74346a514907fc46f9a6c673ad80f9260b1182e59b61743abc375993858","none","closed_pending_sentinel",FALSE,"internal/SRA742961_SRS3565209__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
