"comparison_order","dataset_scope","contrast_id","seed","homology_dimension","metric","value"
29,"internal124","layer_effect",20260809,"H1","median_neighbor_jaccard",0.333333333333333
29,"internal124","layer_effect",20260809,"H1","nonnegative_scale",1.17774066139308
29,"internal124","layer_effect",20260809,"H1","p10_neighbor_jaccard",0.111111111111111
29,"internal124","layer_effect",20260809,"H1","p95_abs_median_scaled_change",0.388208653709157
29,"internal124","layer_effect",20260809,"H1","pearson",0.904011344931125
29,"internal124","layer_effect",20260809,"H1","relative_stress",0.166403444226717
29,"internal124","layer_effect",20260809,"H1","right_median_distance",0.0329266456147322
29,"internal124","layer_effect",20260809,"H1","spearman",0.883731168271916
3,"internal124","net_migration_effect",20260805,"H0","left_median_distance",1.02735207056916
3,"internal124","net_migration_effect",20260805,"H0","mean_neighbor_jaccard",0.400902906308379
3,"internal124","net_migration_effect",20260805,"H0","median_abs_median_scaled_change",0.151854167551291
3,"internal124","net_migration_effect",20260805,"H0","median_neighbor_jaccard",0.428571428571429
3,"internal124","net_migration_effect",20260805,"H0","nonnegative_scale",1.00450178604585
3,"internal124","net_migration_effect",20260805,"H0","p10_neighbor_jaccard",0.176470588235294
3,"internal124","net_migration_effect",20260805,"H0","p95_abs_median_scaled_change",0.472904251693934
3,"internal124","net_migration_effect",20260805,"H0","pearson",0.967445680573205
3,"internal124","net_migration_effect",20260805,"H0","relative_stress",0.146434428457957
3,"internal124","net_migration_effect",20260805,"H0","right_median_distance",1.11469655188785
3,"internal124","net_migration_effect",20260805,"H0","spearman",0.947391645648486
6,"internal124","net_migration_effect",20260806,"H0","left_median_distance",1.01472840440442
6,"internal124","net_migration_effect",20260806,"H0","mean_neighbor_jaccard",0.411947266311593
6,"internal124","net_migration_effect",20260806,"H0","median_abs_median_scaled_change",0.156988123763673
6,"internal124","net_migration_effect",20260806,"H0","median_neighbor_jaccard",0.428571428571429
6,"internal124","net_migration_effect",20260806,"H0","nonnegative_scale",1.01323879825547
6,"internal124","net_migration_effect",20260806,"H0","p10_neighbor_jaccard",0.176470588235294
