"contract_id","source_order","dataset_scope","unit_id","fit_cells","source_origin","cache_bytes","cache_sha256","worker_audit_sha256","private_locator_state","outcome_label_state","biological_outcomes_computed"
"mv08r_source_cache_binding_v1",72,"internal124","SRA742961_SRS3565198",7396,"mv08q_production",15641386,"8a46dc92b530935b3867b13ae9f3c66c11f0ef09cd7ffa6f05d093a4184c8926","08547d719cf50f9424630437f5763c31acd1328d2195996bd6b2faf23ba2dc04","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",73,"internal124","SRA742961_SRS3565199",8050,"mv08q_production",15641439,"9d91b5844f1b5345b349a1c3fd4e02923caf0c92c569743a4ce88731d84cf201","d7211f1bc193f5b05421e892224624d1b8945421615c2f4d652d91f853c0321f","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",74,"internal124","SRA742961_SRS3565201",7482,"mv08q_production",15641386,"b357808aaa67b822c330e421d6f1d0bab92967e80ac84d5c6133049b2a9b53e6","e3f4227f54d5ca148d2e9c97c135528cb13fa8d78453d751d694cd6597c21c96","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",75,"internal124","SRA742961_SRS3565202",5748,"mv08q_production",15641386,"3fe4222f57a2ea8f9743ac2c6cb67de0e789c7565a69138e55da8140ea73a347","58741789d9ab77249e0c3259ef301a66464881eb673c4f1b647922e7abb8c0ab","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",76,"internal124","SRA742961_SRS3565203",6335,"mv08q_production",15641386,"16cc720320ac99fafd0466eb4b10c64730623481d7add24e8d225be69e849907","2cfe4ba47ae385241742739895433bcd2464f308315015b95f2631343394893e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",77,"internal124","SRA742961_SRS3565204",4900,"mv08q_production",15641386,"f69035aca0d803778c8e69b708d7863122af6fa1392e9d3076949eab0d1e1c19","6516a759a549a24cd49cd030230e30e5a1d4517f1ddc04874af7da88a8fb3f7d","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",78,"internal124","SRA742961_SRS3565205",4751,"mv08q_production",15641386,"48921f6cb9fb5012455934cf1c4304e6913b8ae384f734920ab1e5847ed182b0","f197cdc8250a5973ea079ad915f4f02507baf2ea6d3e4981b4dee566757030c1","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",79,"internal124","SRA742961_SRS3565206",6956,"mv08q_production",15641386,"57a60db39cfc8136b4acd498fa4b3de34ceb0feb55fc5cf55dbf7795c6734f9c","000805cf14cec2eb93507acc6872cc1fd65e6d8a19fe66b72ca317169bcfd169","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",80,"internal124","SRA742961_SRS3565207",6257,"mv08q_production",15641386,"62b67e4f6d736485a80a615bd35be2a0d2c71ccbce2b0d7f92f2ab1d2ec9d9d3","3873ccd6ab8fb9c0b1df1ee135a96669bf92ae72ba1bd326a9ddfbcddddacbd1","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",81,"internal124","SRA742961_SRS3565208",8118,"mv08q_production",15641439,"c291c97d59b243bda18cc7aaeaf0443fd5554cc48c94fd9a67ecc8342649e30c","92b20e1f01123ffc98e13c48952cac3731225e81a740325490418beb62f53c85","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",82,"internal124","SRA742961_SRS3565209",7044,"mv08q_production",15641386,"52052a85c231f5299dd0dd723eb4bec7f933d9f1f101f20877c3eb93195f828e","77519c3d6d9ab79bacbd9051a6dde99b6dee9ba5a6cc84c0815f3d49111a9133","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",83,"internal124","SRA742961_SRS3565210",5566,"mv08q_production",15641386,"b96e0ccbaed7b394913a3b334cf46ba67eb0809a7b8cd0dad7a9da7f65ddb011","c9bf3cd3d786c3758b69a38a418a39ce468ea42861f4405389731d1928440d1c","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",84,"internal124","SRA742961_SRS3565211",5981,"mv08q_production",15641386,"8a7e5d700c83896b6ee3b6711c2384fdd6f17a88ea3e40e7a731e90d8a0cfcaf","4b1f0c0b95ab9c54b4649f897cc54e0c5c6841a294ed68717f9d212bd9d64ed4","runtime_argument_only_not_public","closed",FALSE
