"contract_id","stack_id","homology_dimension","method_id","k","seeds","seed_pairs","mean_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","outcome_label_state","biological_outcomes_computed","representation_label","method_label"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",2,5,10,0.87909578990639,0.833370900869518,0.931960852325668,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",3,5,10,0.563049852168688,0.350689723910899,0.906921279378987,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",4,5,10,0.812292186872092,0.711831607330909,0.866862929810691,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",5,5,10,0.741507548016005,0.62359243682509,0.855320348107375,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",6,5,10,0.729036330576577,0.63306247183416,0.83261302277501,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",7,5,10,0.745090929939953,0.630847132236811,0.858569205416417,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",8,5,10,0.591178709786489,0.440867375560877,0.73461355717231,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",9,5,10,0.657020614682227,0.542924642270271,0.76434401085364,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","diana_dissimilarity_v1",10,5,10,0.604902818330759,0.48020463768172,0.727528145479197,"closed",FALSE,"All-QC Pearson residual (primary)","DIANA"
"mv10_seed_stability_v1","allqc_residual_exact500","H0","hclust_average_v1",2,5,10,0.942012391981911,0.892301939168744,1,"closed",FALSE,"All-QC Pearson residual (primary)","Average linkage"
