"view","contribution","cumulative_fraction"
"gene",0.00182268254151371,0.792682926829268
"gene",0.00185154993190122,0.795961185418306
"gene",0.00188868736255133,0.799370574350905
"gene",0.00191581087476296,0.802648832939942
"gene",0.00194214817832618,0.806058221872541
"gene",0.00197436435965383,0.809336480461579
"gene",0.00199796951042147,0.812745869394178
"gene",0.00202910663429049,0.816024127983215
"gene",0.00206328408910351,0.819433516915814
"gene",0.00209433407662951,0.822711775504852
"gene",0.00213199661450363,0.826121164437451
"gene",0.00217145612078827,0.829399423026488
"gene",0.00220551243238855,0.832808811959087
"gene",0.00224089802062164,0.836087070548125
"gene",0.00227256482989863,0.839496459480724
"gene",0.00230601388538277,0.842774718069761
"gene",0.00233652105447987,0.84618410700236
"gene",0.00236389727108222,0.849462365591398
"gene",0.0023994640062933,0.852871754523997
"gene",0.00244328229227284,0.856150013113034
"gene",0.00249748594591814,0.859559402045633
"gene",0.0025331151678838,0.862837660634671
"gene",0.00256311824399563,0.86624704956727
"gene",0.00259682285725121,0.869525308156307
"gene",0.00263941531228489,0.872934697088906
"gene",0.00268303549334653,0.876212955677944
"gene",0.00276136363325297,0.879622344610543
"gene",0.00280310205513661,0.88290060319958
"gene",0.00286182001676364,0.886309992132179
"gene",0.00289021046980669,0.889588250721217
"gene",0.00294582415745458,0.892997639653816
"gene",0.00300196781240569,0.896275898242853
"gene",0.00307780370059032,0.899685287175452
"gene",0.00315841521958236,0.90296354576449
"gene",0.00323833471302472,0.906372934697089
"gene",0.00332074719415613,0.909651193286126
"gene",0.0033829724333685,0.913060582218725
"gene",0.00344258212031455,0.916338840807763
"gene",0.00352967828340668,0.919748229740362
"gene",0.00359631626506177,0.923026488329399
"gene",0.00366387577699935,0.926435877261998
"gene",0.00371903563159841,0.929714135851036
"gene",0.00382185447214245,0.933123524783635
"gene",0.00389235981112729,0.936401783372672
"gene",0.00396181222991834,0.939811172305271
"gene",0.0040690611791078,0.943089430894309
